3.150000000000000000e+01,1.569999999999999840e+00
3.000000000000000000e+01,1.500000000000000000e+00
3.700000000000000000e+01,1.800000000000000044e+00
3.300000000000000000e+01,1.600000000000000089e+00
3.100000000000000000e+01,1.550000000000000266e+00
3.300000000000000000e+01,1.600000000000000089e+00
3.500000000000000000e+01,1.699999999999999956e+00
3.150000000000000000e+01,1.569999999999999840e+00
3.100000000000000000e+01,1.550000000000000266e+00
3.400000000000000000e+01,1.650000000000000133e+00
3.000000000000000000e+01,1.500000000000000000e+00
3.300000000000000000e+01,1.600000000000000089e+00
3.550000000000000000e+01,1.770000000000000018e+00
3.150000000000000000e+01,1.569999999999999840e+00
3.750000000000000000e+01,1.870000000000000107e+00
3.100000000000000000e+01,1.550000000000000266e+00
3.200000000000000000e+01,1.570000000000000062e+00
3.700000000000000000e+01,1.800000000000000044e+00
3.550000000000000000e+01,1.770000000000000018e+00
3.400000000000000000e+01,1.650000000000000133e+00
3.550000000000000000e+01,1.770000000000000018e+00
3.500000000000000000e+01,1.699999999999999956e+00
3.700000000000000000e+01,1.800000000000000044e+00
3.150000000000000000e+01,1.569999999999999840e+00
3.750000000000000000e+01,1.870000000000000107e+00
3.200000000000000000e+01,1.570000000000000062e+00
3.400000000000000000e+01,1.650000000000000133e+00
3.000000000000000000e+01,1.500000000000000000e+00
3.700000000000000000e+01,1.800000000000000044e+00
3.750000000000000000e+01,1.870000000000000107e+00
